年份,考试类型,省份,城市,招录部门,职位名称,招录人数,报名人数,报录比
2022,国考,西藏,西藏,西藏自治区邮政管理局,一级主任科员及以下,1,17864.0,17864.0
2025,国考,北京,北京市,中华职业教育社,联络部一级主任科员及以下,1,10665.0,10665.0
2026,国考,云南,德宏傣族景颇族自治州,国家移民管理局瑞丽遣返中心,瑞丽遣返中心执行队一级警长及以下（十三）,1,6332.0,6332.0
2023,国考,青海,玉树藏族自治州,国家税务总局青海省税务局,一级行政执法员（三）,1,5710.0,5710.0
2026,国考,北京,北京市,中国残联,教育处一级主任科员及以下,1,4706.0,4706.0
2024,国考,北京,北京市,,岗位17372,1,4579.0,4579.0
2022,国考,北京,北京市,全国总工会,办公室一级主任科员及以下,1,4306.0,4306.0
2021,省考,浙江,杭州市,杭州市余杭区人民政府南苑街道办事处,综合管理一级主任科员及以下,1,4125.0,4125.0
2024,国考,甘肃,兰州市,,岗位18948,1,4039.0,4039.0
2025,国考,北京,北京市,国家知识产权局,审查部门（三）一级主任科员及以下,1,3875.0,3875.0
2023,国考,广东,广州市,广东海事局,广州海事局一级行政执法员（二十九）,1,3857.0,3857.0
2024,国考,浙江,宁波市,,岗位8525,1,3829.0,3829.0
2024,国考,北京,北京市,,岗位144,1,3786.0,3786.0
2026,国考,山东,济南市,济南铁路公安局,济南铁路公安处基层所队民警,1,3599.0,3599.0
2024,国考,宁夏,银川市,,岗位18563,1,3572.0,3572.0
2024,国考,西藏,日喀则市,,岗位16794,1,3474.0,3474.0
2026,国考,北京,北京市,国家体育总局,规划建设处一级主任科员及以下,1,3389.0,3389.0
2024,国考,上海,上海市,,岗位18940,1,3295.0,3295.0
2022,国考,四川,甘孜藏族自治州,国家税务总局四川省税务局,一级行政执法员（二）,1,3121.0,3121.0
2025,国考,西藏,林芝市,西藏出入境边防检查总站,林芝边境管理支队一级警长及以下（十四）,1,3115.0,3115.0
